date,fixed,generation,t,price
2016-02-26,0.04399999999998272,0.0,17,33.98
2016-02-26,0.03300000000001546,0.0,18,39.94
2016-02-26,0.01999999999998181,0.0,19,37.55
2016-02-26,0.045000000000015916,0.0,20,31.18
2016-02-26,0.014000000000010004,0.0,21,26.35
2016-02-26,0.05799999999993588,0.0,22,26.86
2016-02-26,0.016000000000076398,0.0,23,25.0
2016-02-27,0.03899999999998727,0.0,0,26.94
2016-02-27,0.02499999999992042,0.0,1,23.02
2016-02-27,0.016000000000076398,0.0,2,21.77
2016-02-27,0.056999999999902684,0.0,3,19.76
2016-02-27,0.014000000000010004,0.0,4,19.83
2016-02-27,0.04399999999998272,0.0,5,20.16
2016-02-27,0.018000000000029104,0.13999999999987267,6,21.18
2016-02-27,0.018000000000029104,0.9900000000000091,7,22.76
2016-02-27,0.053999999999973625,1.9960000000000946,8,25.71
2016-02-27,0.014000000000123691,3.9600000000000364,9,26.79
2016-02-27,0.045999999999935426,6.1749999999999545,10,23.24
2016-02-27,0.018000000000029104,7.150000000000091,11,21.17
2016-02-27,0.027999999999906322,7.339999999999918,12,19.92
2016-02-27,0.05100000000015825,6.595000000000027,13,19.49
2016-02-27,0.014000000000010004,5.2349999999999,14,19.68
2016-02-27,0.05299999999999727,2.125,15,19.93
2016-02-27,0.018000000000029104,0.35400000000004184,16,20.21
2016-02-27,0.041999999999916326,0.0,17,24.97
2016-02-27,0.028999999999996362,0.0,18,32.04
2016-02-27,0.014000000000010004,0.0,19,31.91
2016-02-27,0.05499999999994998,0.0,20,25.72
2016-02-27,0.01999999999998181,0.0,21,21.74
2016-02-27,0.047000000000025466,0.0,22,23.1
2016-02-27,0.016000000000076398,0.0,23,20.98
2016-02-28,0.02800000000002001,0.0,0,19.9
2016-02-28,0.04399999999998272,0.0,1,18.39
2016-02-28,0.012999999999919964,0.0,2,18.01
2016-02-28,0.047000000000025466,0.0,3,17.62
2016-02-28,0.01700000000005275,0.0,4,17.31
2016-02-28,0.038000000000010914,0.0,5,17.46
2016-02-28,0.029999999999972715,0.04600000000004911,6,17.51
2016-02-28,0.014000000000010004,0.5889999999999418,7,17.58
2016-02-28,0.049999999999954525,1.5609999999999218,8,17.9
2016-02-28,0.022000000000048203,1.5650000000000546,9,19.02
2016-02-28,0.036999999999920874,1.58400000000006,10,19.01
2016-02-28,0.02400000000000091,3.4149999999999636,11,19.02
2016-02-28,0.014999999999986358,4.026000000000067,12,16.6
2016-02-28,0.055000000000063665,2.5190000000000055,13,14.06
2016-02-28,0.01899999999989177,1.4610000000000127,14,12.45
2016-02-28,0.04500000000007276,0.7439999999999145,15,12.21
2016-02-28,0.01599999999996271,0.16000000000008185,16,13.26
2016-02-28,0.03499999999996817,0.0,17,19.11
2016-02-28,0.039000000000100954,0.0,18,24.6
2016-02-28,0.014000000000010004,0.0,19,26.98
2016-02-28,0.047000000000025466,0.0,20,21.81
2016-02-28,0.02299999999991087,0.0,21,19.9
2016-02-28,0.051000000000044565,0.0,22,20.44
2016-02-28,0.014000000000010004,0.0,23,19.93
2016-02-29,0.03600000000005821,0.0,0,19.12
2016-02-29,0.028999999999882675,0.0,1,17.77
2016-02-29,0.022000000000048203,0.0,2,17.6
2016-02-29,0.04699999999991178,0.0,3,16.77
2016-02-29,0.014000000000010004,0.0,4,17.01
2016-02-29,0.04800000000000182,0.0,5,18.49
2016-02-29,0.023000000000024556,0.02599999999983993,6,28.23
2016-02-29,0.027000000000043656,0.12000000000011823,7,34.72
2016-02-29,0.038000000000010914,0.21499999999991815,8,32.96
2016-02-29,0.012999999999919964,0.3250000000000455,9,27.99
2016-02-29,0.05299999999999727,0.4249999999999545,10,24.92
2016-02-29,0.02100000000007185,0.4500000000000455,11,23.48
2016-02-29,0.03700000000003456,0.32999999999992724,12,22.77
2016-02-29,0.025999999999953616,0.5590000000001965,13,22.2
2016-02-29,0.014999999999986358,0.5759999999997945,14,22.0
2016-02-29,0.05700000000001637,0.20500000000015461,15,22.24
2016-02-29,0.014999999999986358,0.028999999999996362,16,22.57
2016-02-29,0.04800000000000182,0.0,17,26.58
2016-02-29,0.018000000000029104,0.0,18,34.03
2016-02-29,0.04099999999993997,0.0,19,31.21
2016-02-29,0.02400000000000091,0.0,20,27.14
2016-02-29,0.016000000000076398,0.0,21,23.04
2016-02-29,0.05099999999993088,0.0,22,22.55
2016-02-29,0.01999999999998181,0.0,23,19.29
2016-03-01,0.047000000000025466,0.0,0,22.48
2016-03-01,0.014000000000010004,0.0,1,22.08
2016-03-01,0.03200000000003911,0.0,2,19.87
2016-03-01,0.03999999999996362,0.0,3,19.13
2016-03-01,0.013000000000033651,0.0,4,19.33
2016-03-01,0.04800000000000182,0.0,5,20.18
2016-03-01,0.01599999999996271,0.0,6,25.59
2016-03-01,0.04200000000003001,0.0,7,32.93
2016-03-01,0.025999999999953616,0.004999999999881766,8,37.86
2016-03-01,0.014000000000010004,0.25,9,34.95
2016-03-01,0.04899999999997817,0.55600000000004,10,31.9
